lighting_reading,power_reading,water_reading,gas_reading,lighting_reading_before_change,power_reading_before_change,water_reading_before_change,gas_reading_before_change,floor_id,reading_date_id,comment
316,202,578,926,23086,61334,0,0,20,12,
109,117,220,1670,41614,24229,0,0,21,12,
0,0,2834,0,0,0,0,0,1,13,
146768,84132,916,0,0,0,0,0,2,13,
133315,57966,1071,0,0,0,0,0,3,13,
158388,66571,1135,0,0,0,0,0,4,13,
183156,72105,1133,0,0,0,0,0,5,13,
148872,59158,1110,0,0,0,0,0,6,13,
173406,73762,1318,0,0,0,0,0,7,13,
133947,53468,813,0,0,0,0,0,8,13,
141176,60929,1178,0,0,0,0,0,9,13,
154185,61264,1305,0,0,0,0,0,10,13,
75193,42511,982,0,0,0,0,0,11,13,
1390,683,745,534,0,0,0,0,12,13,
772,534,597,968,0,0,0,0,13,13,
1189,627,1218,2283,0,0,0,0,14,13,
284,417,514,804,0,0,0,0,15,13,
639,541,164,1158,0,0,0,0,16,13,
462,659,313,627,0,0,0,0,17,13,
26,17,145,932,0,0,0,0,18,13,
671,668,397,26,0,0,0,0,19,13,
1196,841,583,926,0,0,0,0,20,13,
341,375,221,1670,0,0,0,0,21,13,
1203433,0,5949,0,0,0,0,0,22,1,
18609,0,6060,0,1206096,0,0,0,22,2,
35700,0,6176,0,0,0,0,0,22,3,
51356,0,6304,0,0,0,0,0,22,4,
566322,0,4759,1713,0,0,0,0,23,4,
66352,0,6434,0,0,0,0,0,22,5,
579382,0,4803,1729,0,0,0,0,23,5,
85329,0,6575,0,0,0,0,0,22,6,
587617,0,4840,1745,0,0,0,0,23,6,
105950,0,6689,0,0,0,0,0,22,7,
598640,0,4887,1770,0,0,0,0,23,7,
125912,0,6796,0,0,0,0,0,22,8,
608112,0,4931,11,0,0,0,1770,23,8,
144245,0,6922,0,0,0,0,0,22,9,
615205,0,4976,29,0,0,0,0,23,9,
158162,0,7043,0,0,0,0,0,22,10,
3467,0,5024,45,615205,0,0,0,23,10,
172310,0,7154,0,0,0,0,0,22,11,
9494,0,5079,57,0,0,0,0,23,11,
189704,0,7298,0,0,0,0,0,22,12,
17387,0,5139,67,0,0,0,0,23,12,
211409,0,7422,0,0,0,0,0,22,13,
26375,0,5204,76,0,0,0,0,23,13,
0,0,2892,0,0,0,0,0,1,14,
147642,84886,923,0,0,0,0,0,2,14,
134046,58554,1076,0,0,0,0,0,3,14,
159532,67993,1143,0,0,0,0,0,4,14,
184174,72886,1139,0,0,0,0,0,5,14,
149780,59744,1115,0,0,0,0,0,6,14,
174713,75139,1328,0,0,0,0,0,7,14,
135150,54320,819,0,0,0,0,0,8,14,
142091,61909,1182,0,0,0,0,0,9,14,
155127,62114,1314,0,0,0,0,0,10,14,
75524,42826,989,0,0,0,0,0,11,14,
2379,1277,751,534,0,0,0,0,12,14,
1295,880,600,968,0,0,0,0,13,14,
2026,1049,1234,2287,0,0,0,0,14,14,
490,688,520,804,0,0,0,0,15,14,
1106,937,165,1158,0,0,0,0,16,14,
790,1123,315,627,0,0,0,0,17,14,
27,22,145,932,0,0,0,0,18,14,
1183,1171,401,26,0,0,0,0,19,14,
1920,1277,589,926,0,0,0,0,20,14,
603,644,223,1670,0,0,0,0,21,14,
233841,0,7540,0,0,0,0,0,22,14,
34782,0,5252,80,0,0,0,0,23,14,
